id,channel_id,track_id,attribute,track_table_id,ch_map_table_id,record_id
0,1,1,color_a,0,0,1
1,2,2,color_a,0,0,1
2,3,3,color_a,0,0,1
3,4,4,color_a,0,0,1
4,5,5,color_a,0,0,1
5,6,6,color_a,0,0,1
6,7,7,color_a,0,0,1
7,8,8,color_a,0,0,1
8,9,9,color_a,0,0,1
9,10,10,color_a,0,0,1
10,11,11,color_a,0,0,1
11,12,12,color_a,0,0,1
12,13,13,color_a,0,0,1
13,14,14,color_a,0,0,1
14,15,15,color_a,0,0,1
15,16,16,color_a,0,0,1
16,17,17,color_a,0,0,1
17,18,18,color_a,0,0,1
18,19,19,color_a,0,0,1
19,20,20,color_a,0,0,1
20,21,21,color_a,0,0,1
21,22,22,color_a,0,0,1
22,23,23,color_a,0,0,1
23,24,24,color_a,0,0,1
24,25,25,color_a,0,0,1
26,1,26,scale_z,0,0,1
27,2,27,scale_z,0,0,1
28,3,28,scale_z,0,0,1
29,4,29,scale_z,0,0,1
30,5,30,scale_z,0,0,1
31,6,31,scale_z,0,0,1
32,7,32,scale_z,0,0,1
33,8,33,scale_z,0,0,1
34,9,34,scale_z,0,0,1
35,10,35,scale_z,0,0,1
36,11,36,scale_z,0,0,1
37,12,37,scale_z,0,0,1
38,13,38,scale_z,0,0,1
39,14,39,scale_z,0,0,1
40,15,40,scale_z,0,0,1
41,16,41,scale_z,0,0,1
42,17,42,scale_z,0,0,1
43,18,43,scale_z,0,0,1
44,19,44,scale_z,0,0,1
45,20,45,scale_z,0,0,1
46,21,46,scale_z,0,0,1
47,22,47,scale_z,0,0,1
48,23,48,scale_z,0,0,1
49,24,49,scale_z,0,0,1
50,25,50,scale_z,0,0,1
51,1,51,color_r,0,0,1
52,2,52,color_r,0,0,1
53,3,53,color_r,0,0,1
54,4,54,color_r,0,0,1
55,5,55,color_r,0,0,1
56,6,56,color_r,0,0,1
57,7,57,color_r,0,0,1
58,8,58,color_r,0,0,1
59,9,59,color_r,0,0,1
60,10,60,color_r,0,0,1
61,11,61,color_r,0,0,1
62,12,62,color_r,0,0,1
63,13,63,color_r,0,0,1
64,14,64,color_r,0,0,1
65,15,65,color_r,0,0,1
66,16,66,color_r,0,0,1
67,17,67,color_r,0,0,1
68,18,68,color_r,0,0,1
69,19,69,color_r,0,0,1
70,20,70,color_r,0,0,1
71,21,71,color_r,0,0,1
72,22,72,color_r,0,0,1
73,23,73,color_r,0,0,1
74,24,74,color_r,0,0,1
75,25,75,color_r,0,0,1
76,1,76,color_g,0,0,1
77,2,77,color_g,0,0,1
78,3,78,color_g,0,0,1
79,4,79,color_g,0,0,1
80,5,80,color_g,0,0,1
81,6,81,color_g,0,0,1
82,7,82,color_g,0,0,1
83,8,83,color_g,0,0,1
84,9,84,color_g,0,0,1
85,10,85,color_g,0,0,1
86,11,86,color_g,0,0,1
87,12,87,color_g,0,0,1
88,13,88,color_g,0,0,1
89,14,89,color_g,0,0,1
90,15,90,color_g,0,0,1
91,16,91,color_g,0,0,1
92,17,92,color_g,0,0,1
93,18,93,color_g,0,0,1
94,19,94,color_g,0,0,1
95,20,95,color_g,0,0,1
96,21,96,color_g,0,0,1
97,22,97,color_g,0,0,1
98,23,98,color_g,0,0,1
99,24,99,color_g,0,0,1
100,25,100,color_g,0,0,1
101,1,101,color_b,0,0,1
102,2,102,color_b,0,0,1
103,3,103,color_b,0,0,1
104,4,104,color_b,0,0,1
105,5,105,color_b,0,0,1
106,6,106,color_b,0,0,1
107,7,107,color_b,0,0,1
108,8,108,color_b,0,0,1
109,9,109,color_b,0,0,1
110,10,110,color_b,0,0,1
111,11,111,color_b,0,0,1
112,12,112,color_b,0,0,1
113,13,113,color_b,0,0,1
114,14,114,color_b,0,0,1
115,15,115,color_b,0,0,1
116,16,116,color_b,0,0,1
117,17,117,color_b,0,0,1
118,18,118,color_b,0,0,1
119,19,119,color_b,0,0,1
120,20,120,color_b,0,0,1
121,21,121,color_b,0,0,1
122,22,122,color_b,0,0,1
123,23,123,color_b,0,0,1
124,24,124,color_b,0,0,1
125,25,125,color_b,0,0,1
