id,record_id,table_id,title,description
0,10070000,0,"Al-Qaida",""
1,10071000,0,"Total Attacks:579",""
2,10071010,0,"Target:Private Citizens  Property Attacks:106",""
3,10071011,0,"Type:Assassination Attacks:5 Killed:4",""
4,10071012,0,"Type:Hostage Taking (Kidnapping) Attacks:12 Kill",""
5,10071013,0,"Type:BombingExplosion Attacks:59 Killed:893",""
6,10071015,0,"Type:Armed Assault Attacks:25 Killed:126",""
7,10071016,0,"Type:Hijacking Attacks:3 Killed:2808",""
8,10071017,0,"Type:Unknown Attacks:1 Killed:1",""
9,10071019,0,"Type:Hostage Taking (Barricade Incide Attacks:1 ",""
10,10071020,0,"Target:Government (Diplomatic) Attacks:31",""
11,10071021,0,"Type:Assassination Attacks:3 Killed:7",""
12,10071022,0,"Type:Hostage Taking (Kidnapping) Attacks:3 Kille",""
13,10071023,0,"Type:BombingExplosion Attacks:15 Killed:324",""
14,10071024,0,"Type:FacilityInfrastructure Attack Attacks:1 Kil",""
15,10071025,0,"Type:Armed Assault Attacks:6 Killed:18",""
16,10071029,0,"Type:Hostage Taking (Barricade Incide Attacks:3 ",""
17,10071030,0,"Target:Journalists  Media Attacks:1",""
18,10071035,0,"Type:Armed Assault Attacks:1 Killed:1",""
19,10071040,0,"Target:Police Attacks:116",""
20,10071041,0,"Type:Assassination Attacks:8 Killed:12",""
21,10071042,0,"Type:Hostage Taking (Kidnapping) Attacks:3 Kille",""
22,10071043,0,"Type:BombingExplosion Attacks:59 Killed:536",""
23,10071044,0,"Type:FacilityInfrastructure Attack Attacks:2 Kil",""
24,10071045,0,"Type:Armed Assault Attacks:43 Killed:143",""
25,10071047,0,"Type:Unknown Attacks:1 Killed:11",""
26,10071050,0,"Target:Utilities Attacks:11",""
27,10071053,0,"Type:BombingExplosion Attacks:10 Killed:5",""
28,10071054,0,"Type:FacilityInfrastructure Attack Attacks:1 Kil",""
29,10071060,0,"Target:Military Attacks:146",""
30,10071061,0,"Type:Assassination Attacks:10 Killed:21",""
31,10071062,0,"Type:Hostage Taking (Kidnapping) Attacks:6 Kille",""
32,10071063,0,"Type:BombingExplosion Attacks:75 Killed:434",""
33,10071064,0,"Type:FacilityInfrastructure Attack Attacks:3 Kil",""
34,10071065,0,"Type:Armed Assault Attacks:50 Killed:341",""
35,10071067,0,"Type:Unknown Attacks:2 Killed:1",""
36,10071070,0,"Target:Government (General) Attacks:63",""
37,10071071,0,"Type:Assassination Attacks:20 Killed:61",""
38,10071072,0,"Type:Hostage Taking (Kidnapping) Attacks:3 Kille",""
39,10071073,0,"Type:BombingExplosion Attacks:27 Killed:342",""
40,10071074,0,"Type:FacilityInfrastructure Attack Attacks:2 Kil",""
41,10071075,0,"Type:Armed Assault Attacks:9 Killed:11",""
42,10071076,0,"Type:Hijacking Attacks:1 Killed:189",""
43,10071079,0,"Type:Hostage Taking (Barricade Incide Attacks:1 ",""
44,10071080,0,"Target:Airports  Airlines Attacks:7",""
45,10071083,0,"Type:BombingExplosion Attacks:6 Killed:0",""
46,10071084,0,"Type:FacilityInfrastructure Attack Attacks:1 Kil",""
47,10071090,0,"Target:Business Attacks:31",""
48,10071092,0,"Type:Hostage Taking (Kidnapping) Attacks:4 Kille",""
49,10071093,0,"Type:BombingExplosion Attacks:23 Killed:329",""
50,10071094,0,"Type:FacilityInfrastructure Attack Attacks:3 Kil",""
51,10071099,0,"Type:Hostage Taking (Barricade Incide Attacks:1 ",""
52,10071100,0,"Target:Educational Institution Attacks:9",""
53,10071102,0,"Type:Hostage Taking (Kidnapping) Attacks:1 Kille",""
54,10071103,0,"Type:BombingExplosion Attacks:6 Killed:38",""
55,10071104,0,"Type:FacilityInfrastructure Attack Attacks:1 Kil",""
56,10071105,0,"Type:Armed Assault Attacks:1 Killed:1",""
57,10071120,0,"Target:Religious FiguresInstitutions Attacks:12",""
58,10071121,0,"Type:Assassination Attacks:3 Killed:37",""
59,10071123,0,"Type:BombingExplosion Attacks:9 Killed:185",""
60,10071130,0,"Target:Unknown Attacks:2",""
61,10071133,0,"Type:BombingExplosion Attacks:2 Killed:4",""
62,10071140,0,"Target:Transportation Attacks:13",""
63,10071142,0,"Type:Hostage Taking (Kidnapping) Attacks:1 Kille",""
64,10071143,0,"Type:BombingExplosion Attacks:12 Killed:69",""
65,10071150,0,"Target:Other Attacks:5",""
66,10071153,0,"Type:BombingExplosion Attacks:4 Killed:4",""
67,10071155,0,"Type:Armed Assault Attacks:1 Killed:0",""
68,10071160,0,"Target:Tourists Attacks:4",""
69,10071162,0,"Type:Hostage Taking (Kidnapping) Attacks:4 Kille",""
70,10071170,0,"Target:NGO Attacks:4",""
71,10071172,0,"Type:Hostage Taking (Kidnapping) Attacks:4 Kille",""
72,10071190,0,"Target:Terrorists Attacks:15",""
73,10071191,0,"Type:Assassination Attacks:4 Killed:9",""
74,10071193,0,"Type:BombingExplosion Attacks:3 Killed:4",""
75,10071195,0,"Type:Armed Assault Attacks:7 Killed:22",""
76,10071197,0,"Type:Unknown Attacks:1 Killed:5",""
77,10071210,0,"Target:Maritime Attacks:3",""
78,10071213,0,"Type:BombingExplosion Attacks:3 Killed:4",""
79,10080000,0,"Al-Qaida in Iraq",""
80,10081000,0,"Total Attacks:200",""
81,10081010,0,"Target:Private Citizens  Property Attacks:62",""
82,10081012,0,"Type:Hostage Taking (Kidnapping) Attacks:5 Kille",""
83,10081013,0,"Type:BombingExplosion Attacks:38 Killed:796",""
84,10081015,0,"Type:Armed Assault Attacks:17 Killed:114",""
85,10081017,0,"Type:Unknown Attacks:1 Killed:1",""
86,10081019,0,"Type:Hostage Taking (Barricade Incide Attacks:1 ",""
87,10081020,0,"Target:Government (Diplomatic) Attacks:15",""
88,10081021,0,"Type:Assassination Attacks:2 Killed:6",""
89,10081022,0,"Type:Hostage Taking (Kidnapping) Attacks:1 Kille",""
90,10081023,0,"Type:BombingExplosion Attacks:5 Killed:16",""
91,10081025,0,"Type:Armed Assault Attacks:4 Killed:6",""
92,10081029,0,"Type:Hostage Taking (Barricade Incide Attacks:3 ",""
93,10081040,0,"Target:Police Attacks:39",""
94,10081041,0,"Type:Assassination Attacks:3 Killed:8",""
95,10081042,0,"Type:Hostage Taking (Kidnapping) Attacks:2 Kille",""
96,10081043,0,"Type:BombingExplosion Attacks:27 Killed:330",""
97,10081044,0,"Type:FacilityInfrastructure Attack Attacks:1 Kil",""
98,10081045,0,"Type:Armed Assault Attacks:6 Killed:61",""
99,10081050,0,"Target:Utilities Attacks:1",""
100,10081054,0,"Type:FacilityInfrastructure Attack Attacks:1 Kil",""
101,10081060,0,"Target:Military Attacks:24",""
102,10081061,0,"Type:Assassination Attacks:1 Killed:6",""
103,10081063,0,"Type:BombingExplosion Attacks:19 Killed:166",""
104,10081064,0,"Type:FacilityInfrastructure Attack Attacks:2 Kil",""
105,10081065,0,"Type:Armed Assault Attacks:2 Killed:18",""
106,10081070,0,"Target:Government (General) Attacks:24",""
107,10081071,0,"Type:Assassination Attacks:6 Killed:18",""
108,10081072,0,"Type:Hostage Taking (Kidnapping) Attacks:1 Kille",""
109,10081073,0,"Type:BombingExplosion Attacks:15 Killed:250",""
110,10081074,0,"Type:FacilityInfrastructure Attack Attacks:1 Kil",""
111,10081079,0,"Type:Hostage Taking (Barricade Incide Attacks:1 ",""
112,10081080,0,"Target:Airports  Airlines Attacks:1",""
113,10081084,0,"Type:FacilityInfrastructure Attack Attacks:1 Kil",""
114,10081090,0,"Target:Business Attacks:8",""
115,10081093,0,"Type:BombingExplosion Attacks:8 Killed:145",""
116,10081100,0,"Target:Educational Institution Attacks:3",""
117,10081103,0,"Type:BombingExplosion Attacks:1 Killed:26",""
118,10081104,0,"Type:FacilityInfrastructure Attack Attacks:1 Kil",""
119,10081105,0,"Type:Armed Assault Attacks:1 Killed:1",""
120,10081120,0,"Target:Religious FiguresInstitutions Attacks:6",""
121,10081121,0,"Type:Assassination Attacks:1 Killed:5",""
122,10081123,0,"Type:BombingExplosion Attacks:5 Killed:122",""
123,10081140,0,"Target:Transportation Attacks:6",""
124,10081142,0,"Type:Hostage Taking (Kidnapping) Attacks:1 Kille",""
125,10081143,0,"Type:BombingExplosion Attacks:5 Killed:50",""
126,10081160,0,"Target:Tourists Attacks:1",""
127,10081162,0,"Type:Hostage Taking (Kidnapping) Attacks:1 Kille",""
128,10081190,0,"Target:Terrorists Attacks:10",""
129,10081191,0,"Type:Assassination Attacks:3 Killed:9",""
130,10081193,0,"Type:BombingExplosion Attacks:1 Killed:3",""
131,10081195,0,"Type:Armed Assault Attacks:5 Killed:18",""
132,10081197,0,"Type:Unknown Attacks:1 Killed:5",""
133,10081338,0,"1992-12-29|Aden|Yemen|Bombing-Explosion|2",""
134,10081339,0,"Parent: 141 Child: 8",""
135,10081340,0,"1992-12-29|Aden|Yemen|Bombing-Explosion|1",""
136,10081341,0,"Parent: 143 Child: 8",""
137,10081342,0,"1998-8-7|Nairobi|Kenya|Bombing-Explosion|224",""
138,10081343,0,"Parent: 145 Child: 8",""
139,10081344,0,"1998-8-7|Dar es Salaam|Tanzania|Bombing-Explosio",""
140,10081345,0,"Parent: 147 Child: 8",""
141,10081346,0,"2000-10-12|Aden|Yemen|Bombing-Explosion|19",""
142,10081347,0,"Parent: 149 Child: 8",""
143,10081348,0,"2001-9-11|New York City|United States|Hijacking|",""
144,10081349,0,"Parent: 151 Child: 8",""
145,10081350,0,"2001-9-11|New York City|United States|Hijacking|",""
146,10081351,0,"Parent: 153 Child: 8",""
147,10081352,0,"2001-9-11|Arlington|United States|Hijacking|189",""
148,10081353,0,"Parent: 155 Child: 8",""
149,10081354,0,"2001-9-11|Shanksville|United States|Hijacking|44",""
150,10081355,0,"Parent: 157 Child: 8",""
151,10081356,0,"2001-12-22|Paris|France|Bombing-Explosion|0",""
152,10081357,0,"Parent: 159 Child: 8",""
153,10081358,0,"2002-3-17|Islamabad|Pakistan|Bombing-Explosion|5",""
154,10081359,0,"Parent: 161 Child: 8",""
155,10081360,0,"2002-4-8|Jalalabad|Afghanistan|Bombing-Explosion",""
156,10081361,0,"Parent: 163 Child: 8",""
157,10081362,0,"2002-4-11|Er-Riadh|Tunisia|Bombing-Explosion|21",""
158,10081363,0,"Parent: 165 Child: 8",""
159,10081364,0,"2002-5-8|Karachi|Pakistan|Bombing-Explosion|14",""
160,10081365,0,"Parent: 167 Child: 8",""
161,10081366,0,"2002-6-27|Spinboldak|Afghanistan|Facility-Infras",""
162,10081367,0,"Parent: 169 Child: 8",""
163,10081368,0,"2002-9-5|Kandahar|Afghanistan|Assassination|3",""
164,10081369,0,"Parent: 171 Child: 8",""
165,10081370,0,"2002-9-5|Kabul|Afghanistan|Bombing-Explosion|10",""
166,10081371,0,"Parent: 173 Child: 8",""
167,10081372,0,"2002-9-15|Hyderabad|Pakistan|Bombing-Explosion|1",""
168,10081373,0,"Parent: 175 Child: 8",""
169,10081374,0,"2002-10-6|Gulf of Aden|International|Bombing-Exp",""
170,10081375,0,"Parent: 177 Child: 8",""
171,10081376,0,"2002-11-14|Jalalabad|Afghanistan|Bombing-Explosi",""
172,10081377,0,"Parent: 179 Child: 8",""
173,10081378,0,"2002-11-21|Kandahar|Afghanistan|Bombing-Explosio",""
174,10081379,0,"Parent: 181 Child: 8",""
175,10081380,0,"2002-11-28|Mombasa|Kenya|Bombing-Explosion|16",""
176,10081381,0,"Parent: 183 Child: 8",""
177,10081382,0,"2002-11-28|Mombasa|Kenya|Bombing-Explosion|0",""
178,10081383,0,"Parent: 185 Child: 8",""
179,10081384,0,"2002-12-17|Kabul|Afghanistan|Bombing-Explosion|0",""
180,10081385,0,"Parent: 187 Child: 8",""
181,10081386,0,"2003-3-4|Jalalabad|Afghanistan|Bombing-Explosion",""
182,10081387,0,"Parent: 189 Child: 8",""
183,10081388,0,"2003-3-5|Jalalabad|Afghanistan|Bombing-Explosion",""
184,10081389,0,"Parent: 191 Child: 8",""
185,10081390,0,"2003-3-7|Jalalabad|Afghanistan|Facility-Infrastr",""
186,10081391,0,"Parent: 193 Child: 8",""
187,10081392,0,"2003-3-10|Kandahar|Afghanistan|Bombing-Explosion",""
188,10081393,0,"Parent: 195 Child: 8",""
189,10081394,0,"2003-3-13|Kandahar|Afghanistan|Bombing-Explosion",""
190,10081395,0,"Parent: 197 Child: 8",""
191,10081396,0,"2003-3-15|Jalalabad|Afghanistan|Bombing-Explosio",""
192,10081397,0,"Parent: 199 Child: 8",""
193,10081398,0,"2003-3-18|Jalalabad|Afghanistan|Bombing-Explosio",""
194,10081399,0,"Parent: 201 Child: 8",""
195,10081400,0,"2003-3-20|Kandahar|Afghanistan|Bombing-Explosion",""
196,10081401,0,"Parent: 203 Child: 8",""
197,10081402,0,"2003-6-7|Kabul|Afghanistan|Bombing-Explosion|6",""
198,10081403,0,"Parent: 205 Child: 8",""
199,10081404,0,"2003-8-13|Lashkar Gah|Afghanistan|Bombing-Explos",""
200,10081405,0,"Parent: 207 Child: 8",""
201,10081406,0,"2003-11-1|Unknown|Afghanistan|Hostage Taking Kid",""
202,10081407,0,"Parent: 209 Child: 8",""
203,10081408,0,"2003-11-20|Istanbul|Turkey|Bombing-Explosion|16",""
204,10081409,0,"Parent: 211 Child: 8",""
205,10081410,0,"2003-11-20|Istanbul|Turkey|Bombing-Explosion|16",""
206,10081411,0,"Parent: 213 Child: 8",""
207,10081412,0,"2003-12-25|Rawalpindi|Pakistan|Assassination|15",""
208,10081413,0,"Parent: 215 Child: 8",""
209,10081414,0,"2004-3-24|Peshawar|Pakistan|Bombing-Explosion|0",""
210,10081415,0,"Parent: 217 Child: 8",""
211,10081416,0,"2004-6-4|Razmak|Pakistan|Armed Assault|0",""
212,10081417,0,"Parent: 219 Child: 8",""
213,10081418,0,"2004-6-10|Wana|Pakistan|Armed Assault|24",""
214,10081419,0,"Parent: 221 Child: 8",""
215,10081420,0,"2004-8-26|Tiarza|Pakistan|Bombing-Explosion|1",""
216,10081421,0,"Parent: 223 Child: 8",""
217,10081422,0,"2004-8-28|Wana|Pakistan|Bombing-Explosion|2",""
218,10081423,0,"Parent: 225 Child: 8",""
219,10081424,0,"2004-10-24|Mandali|Iraq|Armed Assault|50",""
220,10081425,0,"Parent: 227 Child: 87",""
221,10081426,0,"2004-10-25|Baghdad|Iraq|Bombing-Explosion|3",""
222,10081427,0,"Parent: 229 Child: 87",""
223,10081428,0,"2004-10-27|Baghdad|Iraq|Hostage Taking Kidnappin",""
224,10081429,0,"Parent: 231 Child: 87",""
225,10081430,0,"2004-12-3|Baghdad|Iraq|Facility-Infrastructure A",""
226,10081431,0,"Parent: 233 Child: 87",""
